TARGETID,K_R,K_R_ERR,Z
39628010122379566,,inf,2.495578511936471
39628093106689058,,inf,2.42834224759808
39627896075063890,,inf,2.3753243190262627
39628128372393196,,inf,2.56455684246687
39628122500370084,,inf,2.6188864881775085
39628128368201003,,inf,2.3918268633414552
39628122508755323,,inf,2.5689940462197134
39628140078698874,,inf,2.69029158405456
39628145929749419,,inf,2.509583952552439
39628134227644578,,inf,2.466569129832475
39628128364005288,,inf,2.3079184181043706
39628145929750996,,inf,2.7566300305572597
39628140082892838,,inf,2.6059132369122913
39628134231835485,,inf,2.516012247132695
39628157589914257,,inf,2.5372072658946667
39628163415805000,,inf,2.361125787331652
39628163411609340,,inf,2.474503475555677
39628134168920525,,inf,2.342461546050066
39628145866836008,,inf,2.6460793370325604
39628145866837905,,inf,2.3504889128003787
39628140019975215,,inf,2.5375491040674856
39628157547973147,,inf,2.441657746188088
39628151713694876,,inf,2.4332467888200084
39628151705308958,,inf,2.5897189704015413
39628145862641792,,inf,2.440371246681053
39627799811588319,,inf,2.6191503730456764
39627805855580656,,inf,2.4625399698134314
39627687920145571,,inf,2.396203761189192
39627669838496563,,inf,2.6856282590113527
39627760347386627,,inf,2.4726159585551013
39627754311783029,,inf,2.509764999607762
39627766387187077,,inf,2.3280812833501754
39627766382987773,,inf,2.5013801361635553
39627688113084897,,inf,2.539747734287912
39627712221940159,,inf,2.396040897257717
39627742420929171,,inf,2.6979008284218193
39627724309925492,,inf,2.7281163317810515
39627736381133532,,inf,2.4038801225026587
39627730337141056,,inf,2.579009383326419
39627754479552187,,inf,2.7271777431477906
39627772326318202,,inf,2.652401235403605
39627802546281223,,inf,2.3196961952706148
39627790470875071,,inf,2.5117854634910426
39627808586073854,,inf,2.30636128914879
39627814630070461,,inf,2.4242574389774707
39627802550473141,,inf,2.4190162040230723
39627808594461205,,inf,2.304804235321917
39627814625878110,,inf,2.6366398654019996
39627808594465197,,inf,2.6098717492433963
39627808594468044,,inf,2.6009930641740486
39627802550468977,,inf,2.652702574738407
39627796514870771,,inf,2.5505802956622645
39627760284473023,,inf,2.3476604118176696
39627559360530049,,inf,2.782872249689767
39627595075031323,,inf,2.7707384369905936
39627595087610135,,inf,2.773693350711536
39627589093950830,,inf,2.441865627038579
