Targetid,mag_g,magerr_g,mag_r,magerr_r,mag_i,magerr_i
39628351006049192,20.669344,-0.01207504021501461,20.585403,-0.012894178170723464,20.476036,-0.044988162807195045
39628351006050533,21.01799,-0.016475449086909472,20.817986,-0.01838459996173943,20.559948,-0.05125644037691749
39628351006052442,20.215635,-0.008175243670424426,19.894218,-0.0070261521653209,20.026356,-0.03222520353865765
39628356475425189,18.977156,-0.0031743678580432523,18.756887,-0.002534015357791785,18.75262,-0.010649887258183798
39628356492199033,20.71241,-0.014537604363452238,20.621473,-0.01292337392786955,20.563965,-0.04725602598025574
39628356492199874,21.33862,-0.026329721896881517,20.356945,-0.010029571551792656,19.973661,-0.028012025918334838
39628356496394669,20.19925,-0.010154794363780634,20.094818,-0.008332427237142616,19.922146,-0.02594422233295422
39628356504784568,21.364777,-0.1555071090549204,21.478617,-0.06529114449985224,20.995087,-0.13001958741314001
39628356517367369,20.782928,-0.013091382059702571,20.631916,-0.012559016982514309,20.299826,-0.035326489677382826
39628356525752478,19.534323,-0.004989708532140345,19.15414,-0.0034719670703423373,19.158682,-0.013944032144806077
39628361986740422,21.422432,-0.03202893763654586,21.078283,-0.019623599237147522,20.839314,-0.06686362386733072
39628361986741537,21.270037,-0.022217792826256477,20.950422,-0.0172661079311749,20.849113,-0.06711292298000898
39628361990930771,20.726507,-0.012217801439888036,20.461937,-0.010370183009793251,20.07129,-0.027224448380940167
39628361990931793,20.55822,-0.011138346548892505,20.045933,-0.0072324740137242275,20.16175,-0.028740529799976062
39628361995124843,21.427622,-0.06895460087058088,20.54055,-0.020636678500428957,20.278204,-0.1216527015462402
39628361995125833,21.401325,-0.030963329380172242,21.241604,-0.025876645760757416,20.905912,-0.06730690147820687
39628361995127437,19.87453,-0.007878613686768302,19.714941,-0.005842048410591688,19.62598,-0.0201573004747747
39628361995128346,21.085873,-0.019328777731076927,20.791138,-0.014574096493678544,20.501406,-0.04125733646923636
39628361995129538,20.870417,-0.0160611796980488,20.493223,-0.0110540615299605,20.522003,-0.03972018713320081
39628361999320085,20.518688,-0.012216552480429778,20.243736,-0.009190280526603945,20.177505,-0.030291315071908364
39628361999321656,21.387623,-0.03220537258748822,21.269066,-0.030133975343529754,20.823704,-0.09283021836554223
39628362003513514,21.407383,-0.02983089212178986,21.122477,-0.02118038951918953,20.958624,-0.081875801362973
39628362003514530,21.476517,-0.040358434836997574,21.337677,-0.03325861163514337,21.073036,-0.15905855397074534
39628362003515287,21.395407,-0.0370576241672228,21.131046,-0.027402196417480134,20.933645,-0.0759419389273784
39628362003516420,21.321981,-0.0270265788342911,21.099106,-0.021090828764685144,20.767181,-0.06403475890186974
39628362003516785,20.806086,-0.015271183044634491,20.45491,-0.01089733811757199,20.280663,-0.03571016596287046
39628362003517136,21.539452,-0.04810428150791041,20.762749,-0.013938000924775047,20.477903,-0.04206089204752014
39628362003517548,21.224403,-0.0233062168511672,20.76147,-0.014012468604455324,20.557934,-0.04335787265313585
39628362003517668,19.271904,-0.004867051421810814,19.219442,-0.00383545831967615,18.972847,-0.011796777704074776
39628362007707882,21.341656,-0.02621850395431266,21.076565,-0.020876121749413272,20.88171,-0.0945528810778258
39628362011903198,20.829046,-0.01645846420466785,20.285767,-0.00977673554179625,20.045864,-0.030038262118520866
39628362011903882,20.676012,-0.014467042020796952,20.415108,-0.01064079575082508,20.351017,-0.03476050389304605
39628362011905696,18.802355,-0.003482017274981371,18.819658,-0.0028090698405465256,18.891642,-0.011492686387850646
39628362011906230,19.636837,-0.006557572303915288,19.351477,-0.004400324909018227,19.335997,-0.01657177879996547
39628362011906391,20.929447,-0.018049822942614126,20.556181,-0.011994693832266496,20.517014,-0.04637841623729476
39628362016096295,21.427845,-0.03526320078016217,20.753067,-0.014161204251660876,20.40799,-0.042451837633866174
39628362016099408,20.859444,-0.016430609765006196,20.350185,-0.010072127851144207,20.37455,-0.03579947894009243
39628362016100178,20.498264,-0.012759690407661653,20.16796,-0.008432491948945043,20.014164,-0.029989639875690848
39628362016100230,21.107998,-0.02103965302474025,20.703936,-0.013443947990996581,20.596416,-0.047777250203520666
39628362020291076,21.42062,-0.034387178008681706,21.185883,-0.025754486596655364,20.870893,-0.08183859008665514
39628362020293130,20.66373,-0.015052719858955484,20.561321,-0.012088160616903453,20.312256,-0.03561717196827867
39628362024486876,19.63671,-0.007946401062936644,19.74065,-0.009254522894244114,19.64987,-0.05978925735385208
39628362024488813,20.590221,-0.01146158482643107,20.287926,-0.00913383013317375,20.164303,-0.03146266510356748
39628362024488967,20.29316,-0.009042697457204634,19.734343,-0.005638338320838785,19.449675,-0.017146368897505808
39628362024489425,21.443079,-0.05145260102995425,21.304703,-0.03292652641184993,20.729132,-0.11494278888395947
39628362028679320,20.349735,-0.009473153718993278,20.300142,-0.009302886835818853,20.124445,-0.03270185384344339
39628362028679908,20.989344,-0.015781240179575294,20.769333,-0.01386061568276084,20.567715,-0.04685970782225221
39628362028681595,19.947485,-0.00692441720878589,19.83047,-0.006182328889360982,19.569605,-0.020319913619450694
39628362028681614,20.91139,-0.015064380876513395,20.638847,-0.01246643301223876,20.504349,-0.04095640570203767
39628362028682187,21.69121,-0.05022733499353249,21.384212,-0.03848934903170053,21.275473,-0.13795375946275784
39628362028682410,19.35186,-0.0042063652761045334,19.230717,-0.0037331422554483305,19.124586,-0.013247639899734523
39628362028682568,21.030695,-0.01671413416078936,20.67338,-0.012892072030060079,20.363798,-0.03400324398986596
39628362037070323,21.456581,-0.03126467222725811,21.05274,-0.02074263055735885,20.596596,-0.04868623083406639
39628362037071983,21.6734,-0.05848849765234834,21.283821,-0.03083414600072393,21.038116,-0.1276122414607483
39628362041264020,20.297539,-0.009808676688929312,19.645128,-0.005531028094782522,19.449362,-0.019198525463977104
39628367485472849,21.290686,-0.023483234179320692,21.180748,-0.024438494848260342,20.495398,-0.17662815031853055
39628367489664189,21.498241,-0.03936979037365239,20.655205,-0.012408976364163918,20.401852,-0.0349273536019233
39628367489664444,20.207745,-0.00816145861645797,19.881594,-0.006137550008449723,19.56229,-0.01774650135975847
39628367489664738,19.724117,-0.005370083199211849,19.608324,-0.004897113449887623,19.445114,-0.01706551632109867
39628367498051632,21.583153,-0.08441546397208463,21.354397,-0.04654662481046631,20.896742,-0.12243434744902364
39628367498052078,20.466026,-0.012004903086230917,20.166521,-0.00869102586424651,20.027557,-0.02825253490314408
39628367502247555,20.780327,-0.015017161034933026,20.5418,-0.011559593055382513,20.199282,-0.03295123417548625
39628367514829103,19.239212,-0.004810139841926026,18.88065,-0.0029532463469613187,19.093658,-0.013774231482897267
39628367514830181,20.237106,-0.010557013391966456,20.15823,-0.008671593214232278,19.865751,-0.025004863047876583
39628367514832123,21.146486,-0.022461144662033833,20.957035,-0.01893260720461466,20.59248,-0.08814030440780864
39628367519023701,21.309284,-0.026587337851150875,21.054934,-0.020852953235210383,20.536453,-0.04194201983641382
39628367523221534,21.270735,-0.022999020467135315,21.075544,-0.023229454023205882,20.825455,-0.07270892240139877
39628367535801135,21.392889,-0.03172429631639872,20.979511,-0.01782999129658775,20.774355,-0.07143050474542727
39628367535801382,20.72776,-0.013106232480210396,20.369642,-0.009665682092315508,20.154045,-0.029533330431882457
39628372988396102,19.978931,-0.008477877561193916,19.78159,-0.006190031512530754,19.903004,-0.02397069820654899
39628372988397743,20.763733,-0.015105887643963036,20.3601,-0.009948827441429423,20.332262,-0.03471816038482965
39628373009369430,19.502857,-0.005996992102907235,19.439915,-0.004690168003396824,19.114172,-0.014022198708361432
39628469851655590,20.556791,-0.01428142786680054,20.16069,-0.01035680272823312,20.139141,-0.04812611503463746
39628469855846856,20.359829,-0.012705642084201734,19.79767,-0.007773630753903459,19.600311,-0.030776753425379746
39628317690697089,19.107439,-0.003587368590598628,19.064535,-0.003581671158481728,19.088749,-0.013798648937005314
39628317694888632,20.807732,-0.014581052000133096,20.780125,-0.016330327973916217,20.5463,-0.0447889186093194
39628317699081712,20.827654,-0.014633301257386435,20.70673,-0.015015911683707153,20.549715,-0.043700248118993264
39628317699081885,21.397259,-0.033544656286263415,21.281538,-0.044809226163686044,20.54457,-0.1349908453267681
39628317699084024,19.53489,-0.005027649674496025,19.39881,-0.004713638636444696,19.12912,-0.014212569847342994
39628317707469792,21.315384,-0.02574754851534818,21.101606,-0.023817359667706414,20.600021,-0.06475750142025434
39628317711664044,21.462883,-0.056747107399635566,21.32355,-0.03562054300048554,20.914684,-0.15164648517165294
39628317711664085,19.08588,-0.0033258756334985564,18.84891,-0.002810800992348436,18.824295,-0.010713251240362789
39628317715857774,20.57952,-0.011166272379162633,20.257912,-0.009965371442262883,20.354769,-0.039464676755650234
39628317715858540,19.25681,-0.003792691172318437,19.224705,-0.0038427121773424756,19.23507,-0.015064563064903547
39628323256537525,20.590786,-0.012399513130605657,20.242245,-0.010172298856883288,20.475332,-0.041427593890158175
39628323264926442,20.062094,-0.007682335402632176,20.073608,-0.0090149574878585,20.038013,-0.03129451119486061
39628323264926735,21.314323,-0.02653111651004247,20.920618,-0.021735356993256932,20.679693,-0.06179420376003939
39628323273310526,21.418295,-0.03415369859116265,21.153877,-0.03239257413042472,20.874655,-0.06937663827117542
39628323273315009,20.810162,-0.014611651836495987,20.93827,-0.01989266797092167,20.894695,-0.06626062455701115
39628323273315027,21.347107,-0.027816626424413182,21.245544,-0.032262326063178914,20.940529,-0.10611835384518167
39628323277504884,21.157835,-0.020379891126059067,20.857578,-0.017544364728785837,20.840965,-0.07349111123122092
39628323277506097,21.394146,-0.0354095778129045,19.602633,-0.005657867228857984,19.36449,-0.016995196408436403
39628323277506828,20.511723,-0.01098019649238399,20.332027,-0.010549866055256455,20.409859,-0.04339340399908825
39628323277507291,20.219467,-0.008805348298437488,20.090324,-0.008704255622006963,19.922157,-0.0278268192596166
39628323277509003,21.071203,-0.019252677401681056,20.802563,-0.016571767992084947,20.706804,-0.0626953462122282
39628323277509972,19.477594,-0.004762997656830795,19.521233,-0.005191440855395535,19.543568,-0.01965570843865664
39628323281699627,20.908815,-0.015261795223113377,20.161592,-0.00921369033396968,20.13324,-0.03325957973071605
39628323285893402,19.919086,-0.006753094345723028,19.842073,-0.007072201406580147,19.516928,-0.019527565266629573
39628323285897504,19.894974,-0.006268132318441682,19.813526,-0.006506386562924951,19.698736,-0.021152605345675785
39628323290089375,20.75703,-0.012859821287478257,20.195341,-0.009025182990068187,19.991905,-0.027247229537597815
39628323294282118,21.287556,-0.024316740504291404,21.159342,-0.0276919282468295,20.731897,-0.07144230085074049
39628323294282307,20.703127,-0.012887090393700373,20.493965,-0.012109359797233028,20.470655,-0.0407695322868124
39628323302672830,21.666512,-0.0631946051379629,21.275312,-0.028852101226499914,20.729868,-0.08926619822145909
39628328813990545,21.256397,-0.028547277690082525,21.120594,-0.03552693477829911,20.668476,-0.08312970879987007
39628328834957343,20.992546,-0.018250726449176857,20.832218,-0.01878630156845241,20.59574,-0.08880830568017387
39628328834958931,20.864923,-0.015066780387819861,20.561146,-0.01352866969818617,20.589756,-0.048453486451940274
39628328834960714,19.871437,-0.0063915381141873475,19.767706,-0.006789348000026907,19.952118,-0.029505874269359217
39628328834961929,19.901112,-0.006589074287276852,19.65163,-0.0061112366393171,19.782637,-0.026524597204649832
39628328834961995,18.588436,-0.0024584191041710306,18.413246,-0.002265138530597641,18.308521,-0.008025467394690143
39628328847544763,20.112183,-0.008044261762195583,20.139679,-0.009089244209503472,19.882877,-0.02808581137628828
39628328851735967,20.312044,-0.009606743793173918,20.164364,-0.009417404008148588,20.206804,-0.03167917023705219
39628328851736191,19.527586,-0.00496615700891608,19.447868,-0.00489974849266202,19.398853,-0.018313980585685015
39628328855931405,19.734045,-0.005862246944091061,19.534906,-0.005254025476280115,19.559643,-0.020646763842240522
39628328855933297,20.388855,-0.010252920458771136,19.336912,-0.0044963263690943845,19.25319,-0.01654591544685383
